17:17:16.231 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
17:17:16.780 [main] INFO  c.b.launchers.LaunchMavenCommand - The maven properties for launcher are [archetypeVersion=1.5, archetypeGroupId=com.browserstack, archetypeArtifactId=browserstack-sdk-archetype-integrate, BROWSERSTACK_ACCESS_KEY=NmhBqMtc1jfqqryiBW9A, groupId=com.browserstack, artifactId=java-archetype-integrate, BROWSERSTACK_USERNAME=sumitagarwal8, BROWSERSTACK_FRAMEWORK=java, BUILD_NAME=browserstack build, version=1.0, PROJECT_NAME=BrowserStack Sample, BROWSERSTACK_SOURCE=java:eclipse:v1.0.8]
17:28:05.043 [Worker-33: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
17:28:05.047 [Worker-33: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
17:28:05.049 [Worker-33: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:28:05.050 [Worker-33: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
17:31:55.852 [Worker-32: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
17:31:55.857 [Worker-32: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
17:31:55.861 [Worker-32: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:31:55.863 [Worker-32: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
17:32:13.771 [Worker-30: Launching demoTest.runtest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
17:32:13.773 [Worker-30: Launching demoTest.runtest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
17:32:13.778 [Worker-30: Launching demoTest.runtest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:32:13.780 [Worker-30: Launching demoTest.runtest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
17:32:14.076 [Worker-30: Launching demoTest.runtest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
17:33:04.604 [Worker-25: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
17:33:04.607 [Worker-25: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:33:04.608 [Worker-25: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
17:38:16.274 [Worker-38: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
17:38:16.277 [Worker-38: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
17:38:16.282 [Worker-38: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:38:16.283 [Worker-38: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
17:50:30.302 [Worker-45: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
17:50:30.305 [Worker-45: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
17:50:30.307 [Worker-45: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:50:30.308 [Worker-45: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
17:54:32.558 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
17:54:32.568 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:54:32.570 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/Demo
17:54:32.572 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
17:54:32.572 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:54:32.575 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/Demo
18:03:31.946 [Worker-43: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
18:03:31.950 [Worker-43: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
18:03:31.951 [Worker-43: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
18:03:31.953 [Worker-43: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
18:10:54.393 [Worker-51: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
18:10:54.407 [Worker-51: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
18:10:54.412 [Worker-51: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
18:10:54.413 [Worker-51: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
18:37:23.766 [Worker-63: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
18:37:23.794 [Worker-63: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
18:37:23.804 [Worker-63: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
18:37:23.805 [Worker-63: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
18:39:25.488 [Worker-64: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
18:39:25.491 [Worker-64: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
18:39:25.496 [Worker-64: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
18:39:25.497 [Worker-64: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
18:41:18.464 [Worker-60: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
18:41:18.468 [Worker-60: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
18:41:18.471 [Worker-60: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
